state;sex;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Sachsen;Female;17.4;e;17.2;e;18.9;e;20.9;e;21.0;e;21.7;e;23.3;e;25.5;e;27.3;e;30.7;e;33.7;e;36.2;e;34.4;e;33.1;e;32.8;e;32.0;e;34.5;e;38.9;e;39.2;e;38.3;e;37.7;e;37.0;e;34.4;e;34.0;e
Sachsen;Total;16.2;e;16.5;e;18.1;e;19.6;e;19.7;e;20.6;e;22.2;e;24.5;e;25.9;e;28.8;e;30.8;e;32.7;e;32.0;e;31.3;e;31.6;e;30.8;e;31.8;e;35.3;e;35.7;e;35.4;e;34.4;e;33.9;e;31.3;e;30.1;e
Sachsen-Anhalt;Male;8.8;e;9.6;e;10.9;e;11.0;e;11.8;e;13.5;e;14.6;e;14.5;e;17.8;e;21.3;e;19.2;e;21.4;e;22.9;e;22.9;e;23.8;e;23.5;e;21.3;e;22.1;e;22.1;e;22.0;e;21.5;e;23.6;e;22.6;e;25.5;e
Sachsen-Anhalt;Female;12.5;e;13.0;e;15.2;e;15.9;e;18.5;e;19.8;e;19.7;e;21.0;e;26.5;e;30.1;e;30.0;e;30.6;e;30.7;e;30.7;e;30.3;e;30.8;e;31.9;e;33.2;e;33.2;e;36.0;e;33.8;e;34.8;e;32.1;e;35.3;e
Sachsen-Anhalt;Total;10.5;e;11.2;e;12.9;e;13.2;e;14.8;e;16.4;e;16.9;e;17.5;e;21.8;e;25.4;e;24.2;e;25.7;e;26.6;e;26.6;e;26.9;e;27.0;e;26.2;e;27.2;e;27.3;e;28.5;e;27.3;e;28.8;e;27.0;e;30.1;e
Schleswig-Holstein;Male;13.9;e;14.5;e;14.0;e;14.2;e;15.1;e;15.9;e;15.8;e;18.3;e;19.1;e;20.2;e;20.2;e;24.1;e;25.3;e;24.3;e;22.8;e;21.5;e;18.3;e;19.5;e;18.2;e;18.1;e;20.8;e;22.2;e;22.9;e;23.3;e
Schleswig-Holstein;Female;12.6;e;12.6;e;13.4;e;12.9;e;14.1;e;14.9;e;15.7;e;18.8;e;21.0;e;18.8;e;20.2;e;25.3;e;27.7;e;24.4;e;23.0;e;21.8;e;22.0;e;22.2;e;21.9;e;22.3;e;22.9;e;27.4;e;26.3;e;26.1;e
Schleswig-Holstein;Total;13.3;e;13.6;e;13.7;e;13.6;e;14.6;e;15.4;e;15.8;e;18.5;e;20.0;e;19.5;e;20.2;e;24.7;e;26.4;e;24.3;e;22.9;e;21.6;e;20.1;e;20.8;e;19.9;e;20.1;e;21.8;e;24.6;e;24.5;e;24.6;e
Thüringen;Male;11.2;e;11.9;e;11.7;e;13.0;e;15.0;e;16.7;e;17.8;e;19.0;e;21.1;e;23.5;e;26.5;e;24.5;e;25.3;e;25.8;e;24.3;e;27.8;e;24.2;e;27.8;e;27.9;e;27.4;e;25.0;e;29.2;e;27.5;e;29.2;e
Thüringen;Female;11.4;e;13.6;e;14.1;e;16.4;e;18.9;e;22.0;e;23.5;e;23.1;e;26.7;e;30.3;e;32.9;e;31.3;e;33.9;e;34.3;e;34.1;e;34.4;e;35.5;e;38.5;e;40.7;e;40.0;e;36.0;e;44.8;e;45.3;e;53.2;e
Thüringen;Total;11.3;e;12.7;e;12.8;e;14.5;e;16.8;e;19.2;e;20.4;e;20.9;e;23.7;e;26.7;e;29.6;e;27.8;e;29.4;e;29.9;e;29.0;e;31.0;e;29.5;e;32.8;e;33.9;e;33.3;e;30.2;e;36.5;e;35.8;e;40.4;e
